x,y,a,b,c,d,e,f,g,h,Bisymmetric factors
13,37,1,4,4,1,9,1,1,9,True
13,37,1,9,9,1,4,1,1,4,True
13,37,4,1,1,4,1,9,9,1,True
13,37,9,1,1,9,1,4,4,1,True
13,41,1,5,5,1,8,1,1,8,True
13,41,1,8,8,1,5,1,1,5,True
13,41,5,1,1,5,1,8,8,1,True
13,41,8,1,1,8,1,5,5,1,True
13,43,1,6,6,1,7,1,1,7,True
13,43,1,7,7,1,6,1,1,6,True
13,43,6,1,1,6,1,7,7,1,True
13,43,7,1,1,7,1,6,6,1,True
14,19,1,2,2,1,8,3,3,8,True
14,19,2,1,1,2,3,8,8,3,True
14,19,3,8,8,3,2,1,1,2,True
14,19,8,3,3,8,1,2,2,1,True
14,25,1,2,2,1,12,1,1,12,True
14,25,1,12,12,1,2,1,1,2,True
14,25,2,1,1,2,1,12,12,1,True
14,25,12,1,1,12,1,2,2,1,True
14,41,1,4,4,1,10,1,1,10,True
14,41,1,10,10,1,4,1,1,4,True
14,41,4,1,1,4,1,10,10,1,True
14,41,10,1,1,10,1,4,4,1,True
15,29,1,3,3,1,9,2,2,9,True
15,29,2,9,9,2,3,1,1,3,True
15,29,3,1,1,3,2,9,9,2,True
15,29,9,2,2,9,1,3,3,1,True
15,37,1,3,3,1,12,1,1,12,True
15,37,1,12,12,1,3,1,1,3,True
15,37,3,1,1,3,1,12,12,1,True
15,37,12,1,1,12,1,3,3,1,True
16,17,1,2,2,1,6,5,5,6,True
16,17,2,1,1,2,5,6,6,5,True
16,17,5,6,6,5,2,1,1,2,True
16,17,6,5,5,6,1,2,2,1,True
16,19,1,4,4,1,4,3,3,4,True
16,19,2,3,3,2,5,2,2,5,True
16,19,2,5,5,2,3,2,2,3,True
16,19,3,2,2,3,2,5,5,2,True
16,19,3,4,4,3,4,1,1,4,True
16,19,4,1,1,4,3,4,4,3,True
16,19,4,3,3,4,1,4,4,1,True
16,19,5,2,2,5,2,3,3,2,True
16,23,1,2,2,1,10,3,3,10,True
16,23,2,1,1,2,3,10,10,3,True
16,23,3,10,10,3,2,1,1,2,True
16,23,10,3,3,10,1,2,2,1,True
16,29,1,2,2,1,14,1,1,14,True
16,29,1,14,14,1,2,1,1,2,True
16,29,2,1,1,2,1,14,14,1,True
16,29,14,1,1,14,1,2,2,1,True
16,49,1,4,4,1,12,1,1,12,True
16,49,1,12,12,1,4,1,1,4,True
16,49,4,1,1,4,1,12,12,1,True
16,49,12,1,1,12,1,4,4,1,True
16,61,1,6,6,1,10,1,1,10,True
16,61,1,10,10,1,6,1,1,6,True
16,61,6,1,1,6,1,10,10,1,True
16,61,10,1,1,10,1,6,6,1,True
16,65,1,8,8,1,8,1,1,8,True
16,65,8,1,1,8,1,8,8,1,True
17,18,2,3,3,2,4,3,3,4,True
17,18,3,2,2,3,3,4,4,3,True
17,18,3,4,4,3,3,2,2,3,True
17,18,4,3,3,4,2,3,3,2,True
17,19,1,2,2,1,7,5,5,7,True
17,19,1,3,3,1,5,4,4,5,True
17,19,2,1,1,2,5,7,7,5,True
17,19,3,1,1,3,4,5,5,4,True
17,19,4,5,5,4,3,1,1,3,True
17,19,5,4,4,5,1,3,3,1,True
17,19,5,7,7,5,2,1,1,2,True
17,19,7,5,5,7,1,2,2,1,True
17,22,1,2,2,1,9,4,4,9,True
17,22,2,1,1,2,4,9,9,4,True
17,22,4,9,9,4,2,1,1,2,True
17,22,9,4,4,9,1,2,2,1,True
17,23,1,4,4,1,5,3,3,5,True
17,23,1,7,7,1,3,2,2,3,True
17,23,2,3,3,2,7,1,1,7,True
17,23,3,2,2,3,1,7,7,1,True
17,23,3,5,5,3,4,1,1,4,True
17,23,4,1,1,4,3,5,5,3,True
17,23,5,3,3,5,1,4,4,1,True
17,23,7,1,1,7,2,3,3,2,True
17,25,1,2,2,1,11,3,3,11,True
17,25,2,1,1,2,3,11,11,3,True
17,25,3,11,11,3,2,1,1,2,True
17,25,11,3,3,11,1,2,2,1,True
17,27,1,3,3,1,8,3,3,8,True
17,27,3,1,1,3,3,8,8,3,True
17,27,3,8,8,3,3,1,1,3,True
17,27,8,3,3,8,1,3,3,1,True
17,28,1,2,2,1,13,2,2,13,True
17,28,2,1,1,2,2,13,13,2,True
17,28,2,13,13,2,2,1,1,2,True
17,28,13,2,2,13,1,2,2,1,True
17,31,1,2,2,1,15,1,1,15,True
17,31,1,15,15,1,2,1,1,2,True
17,31,2,1,1,2,1,15,15,1,True
17,31,15,1,1,15,1,2,2,1,True
17,32,1,6,6,1,5,2,2,5,True
17,32,2,5,5,2,6,1,1,6,True
17,32,5,2,2,5,1,6,6,1,True
17,32,6,1,1,6,2,5,5,2,True
17,35,1,3,3,1,11,2,2,11,True
17,35,2,11,11,2,3,1,1,3,True
17,35,3,1,1,3,2,11,11,2,True
17,35,11,2,2,11,1,3,3,1,True
17,37,1,5,5,1,7,2,2,7,True
17,37,2,7,7,2,5,1,1,5,True
17,37,5,1,1,5,2,7,7,2,True
17,37,7,2,2,7,1,5,5,1,True
17,38,1,4,4,1,9,2,2,9,True
17,38,2,9,9,2,4,1,1,4,True
17,38,4,1,1,4,2,9,9,2,True
17,38,9,2,2,9,1,4,4,1,True
17,43,1,3,3,1,14,1,1,14,True
17,43,1,14,14,1,3,1,1,3,True
17,43,3,1,1,3,1,14,14,1,True
17,43,14,1,1,14,1,3,3,1,True
17,53,1,4,4,1,13,1,1,13,True
17,53,1,13,13,1,4,1,1,4,True
17,53,4,1,1,4,1,13,13,1,True
17,53,13,1,1,13,1,4,4,1,True
17,61,1,5,5,1,12,1,1,12,True
17,61,1,12,12,1,5,1,1,5,True
17,61,5,1,1,5,1,12,12,1,True
17,61,12,1,1,12,1,5,5,1,True
17,67,1,6,6,1,11,1,1,11,True
17,67,1,11,11,1,6,1,1,6,True
17,67,6,1,1,6,1,11,11,1,True
17,67,11,1,1,11,1,6,6,1,True
17,71,1,7,7,1,10,1,1,10,True
17,71,1,10,10,1,7,1,1,7,True
17,71,7,1,1,7,1,10,10,1,True
17,71,10,1,1,10,1,7,7,1,True
17,73,1,8,8,1,9,1,1,9,True
17,73,1,9,9,1,8,1,1,8,True
17,73,8,1,1,8,1,9,9,1,True
17,73,9,1,1,9,1,8,8,1,True
18,73,1,6,6,1,12,1,1,12,True
18,73,1,12,12,1,6,1,1,6,True
18,73,6,1,1,6,1,12,12,1,True
18,73,12,1,1,12,1,6,6,1,True
19,20,1,2,2,1,7,6,6,7,True
19,20,2,1,1,2,6,7,7,6,True
19,20,6,7,7,6,2,1,1,2,True
19,20,7,6,6,7,1,2,2,1,True
19,21,2,3,3,2,5,3,3,5,True
19,21,3,2,2,3,3,5,5,3,True
19,21,3,5,5,3,3,2,2,3,True
19,21,5,3,3,5,2,3,3,2,True
19,23,1,2,2,1,9,5,5,9,True
19,23,1,5,5,1,4,3,3,4,True
19,23,2,1,1,2,5,9,9,5,True
19,23,3,4,4,3,5,1,1,5,True
19,23,4,3,3,4,1,5,5,1,True
19,23,5,1,1,5,3,4,4,3,True
19,23,5,9,9,5,2,1,1,2,True
19,23,9,5,5,9,1,2,2,1,True
19,25,1,3,3,1,7,4,4,7,True
19,25,3,1,1,3,4,7,7,4,True
19,25,4,7,7,4,3,1,1,3,True
19,25,7,4,4,7,1,3,3,1,True
19,26,1,2,2,1,11,4,4,11,True
19,26,1,8,8,1,3,2,2,3,True
19,26,2,1,1,2,4,11,11,4,True
19,26,2,3,3,2,8,1,1,8,True
19,26,3,2,2,3,1,8,8,1,True
19,26,4,11,11,4,2,1,1,2,True
19,26,8,1,1,8,2,3,3,2,True
19,26,11,4,4,11,1,2,2,1,True
19,29,1,2,2,1,13,3,3,13,True
19,29,2,1,1,2,3,13,13,3,True
19,29,3,13,13,3,2,1,1,2,True
19,29,13,3,3,13,1,2,2,1,True
19,31,1,4,4,1,7,3,3,7,True
19,31,3,7,7,3,4,1,1,4,True
19,31,4,1,1,4,3,7,7,3,True
19,31,7,3,3,7,1,4,4,1,True
19,32,1,2,2,1,15,2,2,15,True
19,32,2,1,1,2,2,15,15,2,True
19,32,2,15,15,2,2,1,1,2,True
19,32,15,2,2,15,1,2,2,1,True
19,33,1,3,3,1,10,3,3,10,True
19,33,3,1,1,3,3,10,10,3,True
19,33,3,10,10,3,3,1,1,3,True
19,33,10,3,3,10,1,3,3,1,True
19,35,1,2,2,1,17,1,1,17,True
19,35,1,17,17,1,2,1,1,2,True
19,35,2,1,1,2,1,17,17,1,True
19,35,17,1,1,17,1,2,2,1,True
19,37,1,7,7,1,5,2,2,5,True
19,37,2,5,5,2,7,1,1,7,True
19,37,5,2,2,5,1,7,7,1,True
19,37,7,1,1,7,2,5,5,2,True
19,41,1,3,3,1,13,2,2,13,True
19,41,2,13,13,2,3,1,1,3,True
19,41,3,1,1,3,2,13,13,2,True
19,41,13,2,2,13,1,3,3,1,True
19,44,1,6,6,1,7,2,2,7,True
19,44,2,7,7,2,6,1,1,6,True
19,44,6,1,1,6,2,7,7,2,True
19,44,7,2,2,7,1,6,6,1,True
19,46,1,4,4,1,11,2,2,11,True
19,46,2,11,11,2,4,1,1,4,True
19,46,4,1,1,4,2,11,11,2,True
19,46,11,2,2,11,1,4,4,1,True
19,47,1,5,5,1,9,2,2,9,True
19,47,2,9,9,2,5,1,1,5,True
19,47,5,1,1,5,2,9,9,2,True
19,47,9,2,2,9,1,5,5,1,True
19,49,1,3,3,1,16,1,1,16,True
19,49,1,16,16,1,3,1,1,3,True
19,49,3,1,1,3,1,16,16,1,True
19,49,16,1,1,16,1,3,3,1,True
19,61,1,4,4,1,15,1,1,15,True
19,61,1,15,15,1,4,1,1,4,True
19,61,4,1,1,4,1,15,15,1,True
19,61,15,1,1,15,1,4,4,1,True
19,71,1,5,5,1,14,1,1,14,True
19,71,1,14,14,1,5,1,1,5,True
19,71,5,1,1,5,1,14,14,1,True
19,71,14,1,1,14,1,5,5,1,True
19,79,1,6,6,1,13,1,1,13,True
19,79,1,13,13,1,6,1,1,6,True
19,79,6,1,1,6,1,13,13,1,True
19,79,13,1,1,13,1,6,6,1,True
19,85,1,7,7,1,12,1,1,12,True
19,85,1,12,12,1,7,1,1,7,True
19,85,7,1,1,7,1,12,12,1,True
19,85,12,1,1,12,1,7,7,1,True
19,89,1,8,8,1,11,1,1,11,True
19,89,1,11,11,1,8,1,1,8,True
19,89,8,1,1,8,1,11,11,1,True
19,89,11,1,1,11,1,8,8,1,True
19,91,1,9,9,1,10,1,1,10,True
19,91,1,10,10,1,9,1,1,9,True
19,91,9,1,1,9,1,10,10,1,True
19,91,10,1,1,10,1,9,9,1,True
20,29,2,5,5,2,5,2,2,5,True
20,29,5,2,2,5,2,5,5,2,True
20,31,1,2,2,1,14,3,3,14,True
20,31,2,1,1,2,3,14,14,3,True
20,31,3,14,14,3,2,1,1,2,True
20,31,14,3,3,14,1,2,2,1,True
20,37,1,2,2,1,18,1,1,18,True
20,37,1,18,18,1,2,1,1,2,True
20,37,2,1,1,2,1,18,18,1,True
20,37,18,1,1,18,1,2,2,1,True
20,97,1,8,8,1,12,1,1,12,True
20,97,1,12,12,1,8,1,1,8,True
20,97,8,1,1,8,1,12,12,1,True
20,97,12,1,1,12,1,8,8,1,True
20,101,1,10,10,1,10,1,1,10,True
20,101,10,1,1,10,1,10,10,1,True
21,23,1,3,3,1,6,5,5,6,True
21,23,3,1,1,3,5,6,6,5,True
21,23,5,6,6,5,3,1,1,3,True
21,23,6,5,5,6,1,3,3,1,True
21,29,1,9,9,1,3,2,2,3,True
21,29,2,3,3,2,9,1,1,9,True
21,29,3,2,2,3,1,9,9,1,True
21,29,9,1,1,9,2,3,3,2,True
21,31,1,3,3,1,9,4,4,9,True
21,31,3,1,1,3,4,9,9,4,True
21,31,4,9,9,4,3,1,1,3,True
21,31,9,4,4,9,1,3,3,1,True
21,47,1,3,3,1,15,2,2,15,True
21,47,2,15,15,2,3,1,1,3,True
21,47,3,1,1,3,2,15,15,2,True
21,47,15,2,2,15,1,3,3,1,True
21,55,1,3,3,1,18,1,1,18,True
21,55,1,18,18,1,3,1,1,3,True
21,55,3,1,1,3,1,18,18,1,True
21,55,18,1,1,18,1,3,3,1,True
21,109,1,9,9,1,12,1,1,12,True
21,109,1,12,12,1,9,1,1,9,True
21,109,9,1,1,9,1,12,12,1,True
21,109,12,1,1,12,1,9,9,1,True
22,23,1,2,2,1,8,7,7,8,True
22,23,2,1,1,2,7,8,8,7,True
22,23,2,3,3,2,5,4,4,5,True
22,23,3,2,2,3,4,5,5,4,True
22,23,4,5,5,4,3,2,2,3,True
22,23,5,4,4,5,2,3,3,2,True
22,23,7,8,8,7,2,1,1,2,True
22,23,8,7,7,8,1,2,2,1,True
22,27,1,6,6,1,4,3,3,4,True
22,27,3,4,4,3,6,1,1,6,True
22,27,4,3,3,4,1,6,6,1,True
22,27,6,1,1,6,3,4,4,3,True
22,29,1,2,2,1,12,5,5,12,True
22,29,2,1,1,2,5,12,12,5,True
22,29,5,12,12,5,2,1,1,2,True
22,29,12,5,5,12,1,2,2,1,True
22,35,1,2,2,1,16,3,3,16,True
22,35,2,1,1,2,3,16,16,3,True
22,35,3,16,16,3,2,1,1,2,True
22,35,16,3,3,16,1,2,2,1,True
22,41,1,2,2,1,20,1,1,20,True
22,41,1,20,20,1,2,1,1,2,True
22,41,2,1,1,2,1,20,20,1,True
22,41,20,1,1,20,1,2,2,1,True
22,43,1,4,4,1,10,3,3,10,True
22,43,3,10,10,3,4,1,1,4,True
22,43,4,1,1,4,3,10,10,3,True
22,43,10,3,3,10,1,4,4,1,True
22,73,1,4,4,1,18,1,1,18,True
22,73,1,18,18,1,4,1,1,4,True
22,73,4,1,1,4,1,18,18,1,True
22,73,18,1,1,18,1,4,4,1,True
22,97,1,6,6,1,16,1,1,16,True
22,97,1,16,16,1,6,1,1,6,True
22,97,6,1,1,6,1,16,16,1,True
22,97,16,1,1,16,1,6,6,1,True
22,113,1,8,8,1,14,1,1,14,True
22,113,1,14,14,1,8,1,1,8,True
22,113,8,1,1,8,1,14,14,1,True
22,113,14,1,1,14,1,8,8,1,True
23,25,1,2,2,1,9,7,7,9,True
23,25,2,1,1,2,7,9,9,7,True
23,25,7,9,9,7,2,1,1,2,True
23,25,9,7,7,9,1,2,2,1,True
23,26,2,5,5,2,4,3,3,4,True
23,26,3,4,4,3,5,2,2,5,True
23,26,4,3,3,4,2,5,5,2,True
23,26,5,2,2,5,3,4,4,3,True
23,27,2,3,3,2,7,3,3,7,True
23,27,3,2,2,3,3,7,7,3,True
23,27,3,7,7,3,3,2,2,3,True
23,27,7,3,3,7,2,3,3,2,True
23,28,1,2,2,1,11,6,6,11,True
23,28,2,1,1,2,6,11,11,6,True
23,28,6,11,11,6,2,1,1,2,True
23,28,11,6,6,11,1,2,2,1,True
23,29,1,3,3,1,8,5,5,8,True
23,29,3,1,1,3,5,8,8,5,True
23,29,5,8,8,5,3,1,1,3,True
23,29,8,5,5,8,1,3,3,1,True
23,31,1,2,2,1,13,5,5,13,True
23,31,2,1,1,2,5,13,13,5,True
23,31,5,13,13,5,2,1,1,2,True
23,31,13,5,5,13,1,2,2,1,True
23,32,1,4,4,1,7,4,4,7,True
23,32,1,10,10,1,3,2,2,3,True
23,32,2,3,3,2,10,1,1,10,True
23,32,3,2,2,3,1,10,10,1,True
23,32,4,1,1,4,4,7,7,4,True
23,32,4,7,7,4,4,1,1,4,True
23,32,7,4,4,7,1,4,4,1,True
23,32,10,1,1,10,2,3,3,2,True
23,33,1,6,6,1,5,3,3,5,True
23,33,3,5,5,3,6,1,1,6,True
23,33,5,3,3,5,1,6,6,1,True
23,33,6,1,1,6,3,5,5,3,True
23,34,1,2,2,1,15,4,4,15,True
23,34,2,1,1,2,4,15,15,4,True
23,34,4,15,15,4,2,1,1,2,True
23,34,15,4,4,15,1,2,2,1,True
23,37,1,2,2,1,17,3,3,17,True
23,37,1,3,3,1,11,4,4,11,True
23,37,2,1,1,2,3,17,17,3,True
23,37,3,1,1,3,4,11,11,4,True
23,37,3,17,17,3,2,1,1,2,True
23,37,4,11,11,4,3,1,1,3,True
23,37,11,4,4,11,1,3,3,1,True
23,37,17,3,3,17,1,2,2,1,True
23,40,1,2,2,1,19,2,2,19,True
23,40,2,1,1,2,2,19,19,2,True
23,40,2,19,19,2,2,1,1,2,True
23,40,19,2,2,19,1,2,2,1,True
23,43,1,2,2,1,21,1,1,21,True
23,43,1,5,5,1,8,3,3,8,True
23,43,1,21,21,1,2,1,1,2,True
23,43,2,1,1,2,1,21,21,1,True
23,43,3,8,8,3,5,1,1,5,True
23,43,5,1,1,5,3,8,8,3,True
23,43,8,3,3,8,1,5,5,1,True
23,43,21,1,1,21,1,2,2,1,True
23,45,1,3,3,1,14,3,3,14,True
23,45,3,1,1,3,3,14,14,3,True
23,45,3,14,14,3,3,1,1,3,True
23,45,14,3,3,14,1,3,3,1,True
23,47,1,4,4,1,11,3,3,11,True
23,47,1,9,9,1,5,2,2,5,True
23,47,2,5,5,2,9,1,1,9,True
23,47,3,11,11,3,4,1,1,4,True
23,47,4,1,1,4,3,11,11,3,True
23,47,5,2,2,5,1,9,9,1,True
23,47,9,1,1,9,2,5,5,2,True
23,47,11,3,3,11,1,4,4,1,True
23,53,1,3,3,1,17,2,2,17,True
23,53,2,17,17,2,3,1,1,3,True
23,53,3,1,1,3,2,17,17,2,True
23,53,17,2,2,17,1,3,3,1,True
23,58,1,8,8,1,7,2,2,7,True
23,58,2,7,7,2,8,1,1,8,True
23,58,7,2,2,7,1,8,8,1,True
23,58,8,1,1,8,2,7,7,2,True
23,61,1,3,3,1,20,1,1,20,True
23,61,1,20,20,1,3,1,1,3,True
23,61,3,1,1,3,1,20,20,1,True
23,61,20,1,1,20,1,3,3,1,True
23,62,1,4,4,1,15,2,2,15,True
23,62,2,15,15,2,4,1,1,4,True
23,62,4,1,1,4,2,15,15,2,True
23,62,15,2,2,15,1,4,4,1,True
23,65,1,7,7,1,9,2,2,9,True
23,65,2,9,9,2,7,1,1,7,True
23,65,7,1,1,7,2,9,9,2,True
23,65,9,2,2,9,1,7,7,1,True
23,67,1,5,5,1,13,2,2,13,True
23,67,2,13,13,2,5,1,1,5,True
23,67,5,1,1,5,2,13,13,2,True
23,67,13,2,2,13,1,5,5,1,True
23,68,1,6,6,1,11,2,2,11,True
23,68,2,11,11,2,6,1,1,6,True
23,68,6,1,1,6,2,11,11,2,True
23,68,11,2,2,11,1,6,6,1,True
23,77,1,4,4,1,19,1,1,19,True
23,77,1,19,19,1,4,1,1,4,True
23,77,4,1,1,4,1,19,19,1,True
23,77,19,1,1,19,1,4,4,1,True
23,91,1,5,5,1,18,1,1,18,True
23,91,1,18,18,1,5,1,1,5,True
23,91,5,1,1,5,1,18,18,1,True
23,91,18,1,1,18,1,5,5,1,True
23,103,1,6,6,1,17,1,1,17,True
23,103,1,17,17,1,6,1,1,6,True
23,103,6,1,1,6,1,17,17,1,True
23,103,17,1,1,17,1,6,6,1,True
23,113,1,7,7,1,16,1,1,16,True
23,113,1,16,16,1,7,1,1,7,True
23,113,7,1,1,7,1,16,16,1,True
23,113,16,1,1,16,1,7,7,1,True
23,121,1,8,8,1,15,1,1,15,True
23,121,1,15,15,1,8,1,1,8,True
23,121,8,1,1,8,1,15,15,1,True
23,121,15,1,1,15,1,8,8,1,True
23,127,1,9,9,1,14,1,1,14,True
23,127,1,14,14,1,9,1,1,9,True
23,127,9,1,1,9,1,14,14,1,True
23,127,14,1,1,14,1,9,9,1,True
23,131,1,10,10,1,13,1,1,13,True
23,131,1,13,13,1,10,1,1,10,True
23,131,10,1,1,10,1,13,13,1,True
23,131,13,1,1,13,1,10,10,1,True
23,133,1,11,11,1,12,1,1,12,True
23,133,1,12,12,1,11,1,1,11,True
23,133,11,1,1,11,1,12,12,1,True
23,133,12,1,1,12,1,11,11,1,True
24,25,3,4,4,3,4,3,3,4,True
24,25,4,3,3,4,3,4,4,3,True
24,31,2,3,3,2,9,2,2,9,True
24,31,2,9,9,2,3,2,2,3,True
24,31,3,2,2,3,2,9,9,2,True
24,31,9,2,2,9,2,3,3,2,True
24,109,1,6,6,1,18,1,1,18,True
24,109,1,18,18,1,6,1,1,6,True
24,109,6,1,1,6,1,18,18,1,True
24,109,18,1,1,18,1,6,6,1,True
24,145,1,12,12,1,12,1,1,12,True
24,145,12,1,1,12,1,12,12,1,True
25,26,1,2,2,1,9,8,8,9,True
25,26,2,1,1,2,8,9,9,8,True
25,26,8,9,9,8,2,1,1,2,True
25,26,9,8,8,9,1,2,2,1,True
25,27,1,3,3,1,7,6,6,7,True
25,27,3,1,1,3,6,7,7,6,True
25,27,6,7,7,6,3,1,1,3,True
25,27,7,6,6,7,1,3,3,1,True
25,29,1,2,2,1,11,7,7,11,True
25,29,1,5,5,1,5,4,4,5,True
25,29,2,1,1,2,7,11,11,7,True
25,29,4,5,5,4,5,1,1,5,True
25,29,5,1,1,5,4,5,5,4,True
25,29,5,4,4,5,1,5,5,1,True
25,29,7,11,11,7,2,1,1,2,True
25,29,11,7,7,11,1,2,2,1,True
25,31,1,7,7,1,4,3,3,4,True
25,31,2,5,5,2,5,3,3,5,True
25,31,3,4,4,3,7,1,1,7,True
25,31,3,5,5,3,5,2,2,5,True
25,31,4,3,3,4,1,7,7,1,True
25,31,5,2,2,5,3,5,5,3,True
25,31,5,3,3,5,2,5,5,2,True
25,31,7,1,1,7,3,4,4,3,True
25,32,1,2,2,1,13,6,6,13,True
25,32,2,1,1,2,6,13,13,6,True
25,32,6,13,13,6,2,1,1,2,True
25,32,13,6,6,13,1,2,2,1,True
25,38,1,2,2,1,17,4,4,17,True
25,38,2,1,1,2,4,17,17,4,True
25,38,4,17,17,4,2,1,1,2,True
25,38,17,4,4,17,1,2,2,1,True
25,41,1,2,2,1,19,3,3,19,True
25,41,2,1,1,2,3,19,19,3,True
25,41,3,19,19,3,2,1,1,2,True
25,41,19,3,3,19,1,2,2,1,True
25,43,1,3,3,1,13,4,4,13,True
25,43,3,1,1,3,4,13,13,4,True
25,43,4,13,13,4,3,1,1,3,True
25,43,13,4,4,13,1,3,3,1,True
25,44,1,2,2,1,21,2,2,21,True
25,44,2,1,1,2,2,21,21,2,True
25,44,2,21,21,2,2,1,1,2,True
25,44,21,2,2,21,1,2,2,1,True
25,47,1,2,2,1,23,1,1,23,True
25,47,1,23,23,1,2,1,1,2,True
25,47,2,1,1,2,1,23,23,1,True
25,47,23,1,1,23,1,2,2,1,True
25,51,1,3,3,1,16,3,3,16,True
25,51,3,1,1,3,3,16,16,3,True
25,51,3,16,16,3,3,1,1,3,True
25,51,16,3,3,16,1,3,3,1,True
25,52,1,10,10,1,5,2,2,5,True
25,52,2,5,5,2,10,1,1,10,True
25,52,5,2,2,5,1,10,10,1,True
